Lot URL,Lot #,Est. Retail Value,Sale Date,Year,Make,Model,Engine Type,Cylinders,VIN,Grid/Row,Title Code,Odometer,Odometer Description,Damage Description,Current Bid,My Bid,Item Number,Sale Name,Repair Estimate
https://www.copart.com/lotDetail/62505311,62505311,0 USD,10/28/2021 04:00 pm CEST,2004,TOYOTA,COROLLA CE,1.8L  4,4,1NXBR32E54Z266648,H030,CERTIFICATE OF TITLE,"245,659 A",ACTUAL,MINOR DENT/SCRATCHES,275 USD,0 USD,48,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/62507301,62507301,0 USD,10/28/2021 04:00 pm CEST,2005,TOYOTA,CAMRY LE,2.4L  4,4,4T1BE30K95U102003,K040,CERTIFICATE OF TITLE,"240,376 A",ACTUAL,ALL OVER,825 USD,0 USD,58,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/62507551,62507551,0 USD,10/28/2021 04:00 pm CEST,2005,TOYOTA,COROLLA MA,1.8L  4,4,2T1KR32E75C505510,J050,CERTIFICATE OF TITLE,"241,294 A",ACTUAL,MINOR DENT/SCRATCHES,200 USD,0 USD,65,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/62548781,62548781,0 USD,10/28/2021 04:00 pm CEST,2008,HONDA,ACCORD EXL,2.4L  4,4,1HGCS12878A013979,K050,CERTIFICATE OF TITLE,"215,898 E",EXEMPT,SIDE,200 USD,0 USD,105,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/62574031,62574031,0 USD,10/28/2021 04:00 pm CEST,2016,TOYOTA,RAV4 HV XL,2.5L  4,4,JTMRJREV2GD007662,G030,CERT OF TITLE-SALVAGE VEHICLE (P),"60,381 A",ACTUAL,MINOR DENT/SCRATCHES,"3,350 USD",0 USD,230,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/62575261,62575261,0 USD,10/28/2021 04:00 pm CEST,2013,NISSAN,JUKE S,1.6L  4,4,JN8AF5MV0DT213349,G050,CERTIFICATE OF TITLE,"87,423 A",ACTUAL,MINOR DENT/SCRATCHES,"1,000 USD",0 USD,192,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/62575811,62575811,0 USD,10/28/2021 04:00 pm CEST,2017,TOYOTA,RAV4 HV SE,2.5L  4,4,JTMJJREV9HD083880,G020,CERT OF TITLE-SALVAGE VEHICLE (P),"60,198 A",ACTUAL,ALL OVER,"6,700 USD",0 USD,235,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/62627731,62627731,0 USD,10/28/2021 04:00 pm CEST,2012,MERCEDES-BENZ,GL 550 4MA,5.5L  8,8,4JGBF8GE5CA783673,G020,CERTIFICATE OF TITLE (P),"162,033 A",ACTUAL,MINOR DENT/SCRATCHES,825 USD,0 USD,194,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/62630331,62630331,0 USD,10/28/2021 04:00 pm CEST,2003,MERCEDES-BENZ,CLK 430,4.3L  8,8,WDBLK70G83T130087,I050,CERTIFICATE OF TITLE (P),"126,642 E",EXEMPT,MINOR DENT/SCRATCHES,"1,400 USD",0 USD,32,CT - HARTFORD SPRINGFIELD,0 USD
https://www.copart.com/lotDetail/62642541,62642541,0 USD,10/28/2021 04:00 pm CEST,2010,TOYOTA,RAV4,2.5L  4,4,2T3BF4DV4AW027025,K040,CERTIFICATE OF TITLE,"138,240 A",ACTUAL,MINOR DENT/SCRATCHES,"1,100 USD",0 USD,148,CT - HARTFORD SPRINGFIELD,0 USD
